,width,height,runtime,threshold,sigmoid_strength,coupling,refractory_period,set_seed,constant,gradient,grad_start,grad_end,normal_modes,normal_modes_config,graph,FullStateSave,stats,seed,location_2,location_3,location_4,AF_time,per_%,title,mean,variance,in AF?
0,100,100,300,0.25,25,0.55,10,0,False,False,0.3,0.4,True,"[1, 0, 0.4]",True,full,False,1787129359,False,False,False,False,1.0,"100,100,300,0.25,25,Normal Modes,10,1787129359",0.40092666666666665,0.04011758573333334,False
1,100,100,300,0.25,25,0.55,10,0,False,False,0.3,0.4,True,"[1, 0, 0.45]",True,full,False,533687865,False,False,False,False,1.0,"100,100,300,0.25,25,Normal Modes,10,533687865",0.45052666666666663,0.04188572262222223,False
2,100,100,300,0.25,25,0.55,10,0,False,False,0.3,0.4,True,"[1, 0, 0.5]",True,full,False,3109134757,False,False,False,False,1.0,"100,100,300,0.25,25,Normal Modes,10,3109134757",0.5017433333333333,0.0423870719,False
3,100,100,300,0.25,25,0.55,10,0,False,False,0.3,0.4,True,"[1, 0, 0.55]",True,full,False,1541167490,False,False,False,False,1.0,"100,100,300,0.25,25,Normal Modes,10,1541167490",0.5478466666666666,0.041817363155555565,False
4,100,100,300,0.25,25,0.55,10,0,False,False,0.3,0.4,True,"[1, 0, 0.6]",True,full,False,136139494,False,False,False,False,1.0,"100,100,300,0.25,25,Normal Modes,10,136139494",0.6029366666666667,0.04009770932222222,False
5,100,100,300,0.25,25,0.55,10,0,False,False,0.3,0.4,True,"[1, 0, 0.65]",True,full,False,2992828708,False,False,False,False,1.0,"100,100,300,0.25,25,Normal Modes,10,2992828708",0.6511533333333334,0.038801780933333335,False
6,100,100,300,0.25,25,0.55,10,0,False,False,0.3,0.4,True,"[1, 0, 0.7]",True,full,False,1741729168,False,False,False,False,1.0,"100,100,300,0.25,25,Normal Modes,10,1741729168",0.6975899999999999,0.035195191900000006,False
7,100,100,300,0.25,25,0.55,10,0,False,False,0.3,0.4,True,"[1, 0, 0.75]",True,full,False,2813649678,False,False,False,False,1.0,"100,100,300,0.25,25,Normal Modes,10,2813649678",0.7526133333333334,0.03096805937777778,False
8,100,100,300,0.25,25,0.55,10,0,False,False,0.3,0.4,True,"[1, 0, 0.8]",True,full,False,3544707664,False,False,False,False,1.0,"100,100,300,0.25,25,Normal Modes,10,3544707664",0.8025133333333333,0.027264794266666666,False
9,100,100,300,0.25,25,0.55,10,0,False,False,0.3,0.4,True,"[1, 0, 0.85]",True,full,False,503506442,False,False,False,False,1.0,"100,100,300,0.25,25,Normal Modes,10,503506442",0.8516466666666667,0.02104217737777778,False
10,100,100,300,0.25,25,0.55,10,0,False,False,0.3,0.4,True,"[1, 0, 0.8999999999999999]",True,full,False,1520877017,False,False,False,False,1.0,"100,100,300,0.25,25,Normal Modes,10,1520877017",0.9004166666666668,0.015295937499999999,False
11,100,100,300,0.25,25,0.55,10,0,False,False,0.3,0.4,True,"[1, 0, 0.95]",True,full,False,400117619,False,False,False,False,1.0,"100,100,300,0.25,25,Normal Modes,10,400117619",0.9488300000000001,0.008167964433333333,False
12,100,100,300,0.25,25,0.55,10,0,False,False,0.3,0.4,True,"[1, 0, 1.0]",True,full,False,1907827239,False,False,False,False,1.0,"100,100,300,0.25,25,Normal Modes,10,1907827239",1.0,0.0,False
