,width,height,runtime,threshold,sigmoid_strength,coupling,refractory_period,set_seed,constant,gradient,grad_start,grad_end,normal_modes,normal_modes_config,graph,FullStateSave,stats,seed,title,in AF?
0,140,80,10000,0.25,25,0.55,10,0,False,False,0.3,0.4,True,"[0.25, 1, 0.0, 0.2]",False,False,False,3645532357,"140,80,10000,0.25,25,Normal Modes,10,3645532357",False
1,140,80,10000,0.25,25,0.55,10,0,False,False,0.3,0.4,True,"[0.25, 1, 0.0, 0.2]",False,False,False,2538033421,"140,80,10000,0.25,25,Normal Modes,10,2538033421",False
2,140,80,10000,0.25,25,0.55,10,0,False,False,0.3,0.4,True,"[0.25, 1, 0.0, 0.2]",False,False,False,286960842,"140,80,10000,0.25,25,Normal Modes,10,286960842",False
3,140,80,10000,0.25,25,0.55,10,0,False,False,0.3,0.4,True,"[0.25, 1, 0.0, 0.2]",False,False,False,1506095373,"140,80,10000,0.25,25,Normal Modes,10,1506095373",False
4,140,80,10000,0.25,25,0.55,10,0,False,False,0.3,0.4,True,"[0.25, 1, 0.0, 0.2]",False,False,False,337196290,"140,80,10000,0.25,25,Normal Modes,10,337196290",False
5,140,80,10000,0.25,25,0.55,10,0,False,False,0.3,0.4,True,"[0.25, 1, 0.0, 0.2]",False,False,False,464168270,"140,80,10000,0.25,25,Normal Modes,10,464168270",False
6,140,80,10000,0.25,25,0.55,10,0,False,False,0.3,0.4,True,"[0.25, 1, 0.0, 0.2]",False,False,False,1244214528,"140,80,10000,0.25,25,Normal Modes,10,1244214528",False
7,140,80,10000,0.25,25,0.55,10,0,False,False,0.3,0.4,True,"[0.25, 1, 0.0, 0.2]",False,False,False,1816756826,"140,80,10000,0.25,25,Normal Modes,10,1816756826",False
8,140,80,10000,0.25,25,0.55,10,0,False,False,0.3,0.4,True,"[0.25, 1, 0.0, 0.2]",False,False,False,804162470,"140,80,10000,0.25,25,Normal Modes,10,804162470",False
9,140,80,10000,0.25,25,0.55,10,0,False,False,0.3,0.4,True,"[0.25, 1, 0.0, 0.2]",False,False,False,2706714715,"140,80,10000,0.25,25,Normal Modes,10,2706714715",False
10,140,80,10000,0.25,25,0.55,10,0,False,False,0.3,0.4,True,"[0.25, 1, 0.0, 0.2]",False,False,False,1081743232,"140,80,10000,0.25,25,Normal Modes,10,1081743232",False
11,140,80,10000,0.25,25,0.55,10,0,False,False,0.3,0.4,True,"[0.25, 1, 0.0, 0.2]",False,False,False,1424003959,"140,80,10000,0.25,25,Normal Modes,10,1424003959",False
12,140,80,10000,0.25,25,0.55,10,0,False,False,0.3,0.4,True,"[0.25, 1, 0.0, 0.2]",False,False,False,696273810,"140,80,10000,0.25,25,Normal Modes,10,696273810",False
13,140,80,10000,0.25,25,0.55,10,0,False,False,0.3,0.4,True,"[0.25, 1, 0.0, 0.2]",False,False,False,4193398772,"140,80,10000,0.25,25,Normal Modes,10,4193398772",False
