,width,height,runtime,threshold,sigmoid_strength,coupling,refractory_period,set_seed,normal_modes_config,graph,FullStateSave,stats,seed,location_2,location_3,location_4,AF_time,per_%,title,mean,variance,in AF?,multiplier
0,100,100,20000,0.25,25,0.55,10,0,"[1, 0.2, 0.5]",True,False,False,157986499,3498,3498,3498,"(1426, 1626)",1.0,"100,100,20000,0.25,25,Normal Modes,10,157986499",0.5005566666666665,0.04951113456666667,True,0.01
1,100,100,20000,0.25,25,0.55,10,0,"[1, 0.2, 0.5]",True,False,False,2695573163,1970,1970,1970,"(7793, 7993)",1.0,"100,100,20000,0.25,25,Normal Modes,10,2695573163",0.4977333333333333,0.05094441777777778,True,0.01
2,100,100,20000,0.25,25,0.55,10,0,"[1, 0.2, 0.5]",True,False,False,3566122523,8487,8487,8487,"(12041, 12241)",1.0,"100,100,20000,0.25,25,Normal Modes,10,3566122523",0.49657333333333337,0.05039359128888889,True,0.01
3,100,100,20000,0.25,25,0.55,10,0,"[1, 0.2, 0.5]",True,False,False,3156087665,7855,7855,7855,"(2584, 2784)",1.0,"100,100,20000,0.25,25,Normal Modes,10,3156087665",0.5040466666666666,0.05013406893333333,True,0.01
4,100,100,20000,0.25,25,0.55,10,0,"[1, 0.2, 0.5]",True,False,False,109996467,8874,8874,8874,"(19009, 19209)",1.0,"100,100,20000,0.25,25,Normal Modes,10,109996467",0.5028,0.05054571555555555,True,0.01
5,100,100,20000,0.25,25,0.55,10,0,"[1, 0.2, 0.5]",True,False,False,509788767,5285,5285,5285,"(5043, 5243)",1.0,"100,100,20000,0.25,25,Normal Modes,10,509788767",0.4996333333333333,0.04984631,True,0.01
6,100,100,20000,0.25,25,0.55,10,0,"[1, 0.2, 0.5]",True,False,False,87307298,7462,7462,7462,"(6614, 6814)",1.0,"100,100,20000,0.25,25,Normal Modes,10,87307298",0.49942666666666663,0.050900560177777776,True,0.01
7,100,100,20000,0.25,25,0.55,10,0,"[1, 0.2, 0.5]",True,False,False,2240266266,7602,7602,7602,"(4114, 4314)",1.0,"100,100,20000,0.25,25,Normal Modes,10,2240266266",0.5031666666666667,0.050946861111111116,True,0.01
8,100,100,20000,0.25,25,0.55,10,0,"[1, 0.2, 0.5]",True,False,False,456067342,4892,4892,4892,"(6421, 6621)",1.0,"100,100,20000,0.25,25,Normal Modes,10,456067342",0.50403,0.04984031465555556,True,0.01
9,100,100,20000,0.25,25,0.55,10,0,"[1, 0.2, 0.5]",True,False,False,2091111388,9961,9961,9961,"(7592, 7792)",1.0,"100,100,20000,0.25,25,Normal Modes,10,2091111388",0.4978466666666667,0.050403140933333326,True,0.01
10,100,100,20000,0.25,25,0.55,10,0,"[1, 0.2, 0.5]",True,False,False,4072311864,9553,9553,9553,"(3576, 3776)",1.0,"100,100,20000,0.25,25,Normal Modes,10,4072311864",0.5009733333333334,0.050964608177777794,True,0.01
11,100,100,20000,0.25,25,0.55,10,0,"[1, 0.2, 0.5]",True,False,False,3501076197,8596,8596,8596,"(241, 441)",1.0,"100,100,20000,0.25,25,Normal Modes,10,3501076197",0.49442333333333327,0.049626567455555555,True,0.01
12,100,100,20000,0.25,25,0.55,10,0,"[1, 0.2, 0.5]",True,False,False,4286565265,9482,9482,9482,"(4822, 5022)",1.0,"100,100,20000,0.25,25,Normal Modes,10,4286565265",0.49739333333333335,0.04996009417777778,True,0.01
13,100,100,20000,0.25,25,0.55,10,0,"[1, 0.2, 0.5]",True,False,False,2312954525,6085,6085,6085,"(832, 1032)",1.0,"100,100,20000,0.25,25,Normal Modes,10,2312954525",0.4974733333333334,0.050460949288888876,True,0.01
14,100,100,20000,0.25,25,0.55,10,0,"[1, 0.2, 0.5]",True,False,False,1359251007,668,668,668,"(198, 398)",1.0,"100,100,20000,0.25,25,Normal Modes,10,1359251007",0.50035,0.05063709972222223,True,0.01
15,100,100,20000,0.25,25,0.55,10,0,"[1, 0.2, 0.5]",True,False,False,3426585265,6779,6779,6779,"(5847, 6047)",1.0,"100,100,20000,0.25,25,Normal Modes,10,3426585265",0.4943366666666667,0.04962092665555556,True,0.01
16,100,100,20000,0.25,25,0.55,10,0,"[1, 0.2, 0.5]",True,False,False,993668162,8665,8665,8665,"(1410, 1610)",1.0,"100,100,20000,0.25,25,Normal Modes,10,993668162",0.5026233333333333,0.04986345145555556,True,0.01
17,100,100,20000,0.25,25,0.55,10,0,"[1, 0.2, 0.5]",True,False,False,2716485427,7261,7261,7261,"(1416, 1616)",1.0,"100,100,20000,0.25,25,Normal Modes,10,2716485427",0.4978099999999999,0.04998687056666667,True,0.01
18,100,100,20000,0.25,25,0.55,10,0,"[1, 0.2, 0.5]",True,False,False,1409954543,False,False,False,False,1.0,"100,100,20000,0.25,25,Normal Modes,10,1409954543",0.5029233333333334,0.05026912078888889,False,0.01
19,100,100,20000,0.25,25,0.55,10,0,"[1, 0.2, 0.5]",True,False,False,1067523873,383,383,383,"(10011, 10211)",1.0,"100,100,20000,0.25,25,Normal Modes,10,1067523873",0.5004,0.04973050666666668,True,0.01
20,100,100,20000,0.25,25,0.55,10,0,"[1, 0.2, 0.5]",True,False,False,4023699673,5684,5684,5684,"(2618, 2818)",1.0,"100,100,20000,0.25,25,Normal Modes,10,4023699673",0.4981033333333333,0.05029518043333333,True,0.01
21,100,100,20000,0.25,25,0.55,10,0,"[1, 0.2, 0.5]",True,False,False,4102474316,481,481,481,"(2029, 2229)",1.0,"100,100,20000,0.25,25,Normal Modes,10,4102474316",0.5021933333333334,0.050377189288888895,True,0.01
22,100,100,20000,0.25,25,0.55,10,0,"[1, 0.2, 0.5]",True,False,False,292519373,2487,2487,2487,"(6415, 6615)",1.0,"100,100,20000,0.25,25,Normal Modes,10,292519373",0.4957833333333334,0.04964610861111111,True,0.01
23,100,100,20000,0.25,25,0.55,10,0,"[1, 0.2, 0.5]",True,False,False,225512090,9456,9456,9456,"(2784, 2984)",1.0,"100,100,20000,0.25,25,Normal Modes,10,225512090",0.4998566666666667,0.0510154239,True,0.01
24,100,100,20000,0.25,25,0.55,10,0,"[1, 0.2, 0.5]",True,False,False,3352911211,9071,9071,9071,"(7824, 8024)",1.0,"100,100,20000,0.25,25,Normal Modes,10,3352911211",0.5037799999999999,0.04955993382222223,True,0.01
25,100,100,20000,0.25,25,0.55,10,0,"[1, 0.2, 0.5]",True,False,False,2815366046,4968,4968,4968,"(994, 1194)",1.0,"100,100,20000,0.25,25,Normal Modes,10,2815366046",0.4984733333333334,0.050926558177777775,True,0.01
26,100,100,20000,0.25,25,0.55,10,0,"[1, 0.2, 0.5]",True,False,False,1766159123,8556,8556,8556,"(3985, 4185)",1.0,"100,100,20000,0.25,25,Normal Modes,10,1766159123",0.5031533333333333,0.04968761204444445,True,0.01
27,100,100,20000,0.25,25,0.55,10,0,"[1, 0.2, 0.5]",True,False,False,3262205458,4786,4786,4786,"(3422, 3622)",1.0,"100,100,20000,0.25,25,Normal Modes,10,3262205458",0.5014799999999999,0.05064692071111112,True,0.01
28,100,100,20000,0.25,25,0.55,10,0,"[1, 0.2, 0.5]",True,False,False,493235606,False,False,False,False,1.0,"100,100,20000,0.25,25,Normal Modes,10,493235606",0.49907666666666667,0.050621703011111116,False,0.01
29,100,100,20000,0.25,25,0.55,10,0,"[1, 0.2, 0.5]",True,False,False,3200338259,8885,8885,8885,"(3640, 3840)",1.0,"100,100,20000,0.25,25,Normal Modes,10,3200338259",0.49819666666666673,0.05007908132222223,True,0.01
30,100,100,20000,0.25,25,0.55,10,0,"[1, 0.2, 0.5]",True,False,False,2661002771,566,566,566,"(990, 1190)",1.0,"100,100,20000,0.25,25,Normal Modes,10,2661002771",0.5027699999999999,0.0498873271,True,0.01
31,100,100,20000,0.25,25,0.55,10,0,"[1, 0.2, 0.5]",True,False,False,28134544,2271,2271,2271,"(7193, 7393)",1.0,"100,100,20000,0.25,25,Normal Modes,10,28134544",0.5028033333333333,0.05026269687777778,True,0.01
32,100,100,20000,0.25,25,0.55,10,0,"[1, 0.2, 0.5]",True,False,False,3135521894,5182,5182,5182,"(229, 429)",1.0,"100,100,20000,0.25,25,Normal Modes,10,3135521894",0.4972166666666666,0.05069991972222223,True,0.01
33,100,100,20000,0.25,25,0.55,10,0,"[1, 0.2, 0.5]",True,False,False,322022106,7687,7687,7687,"(15854, 16054)",1.0,"100,100,20000,0.25,25,Normal Modes,10,322022106",0.5057966666666667,0.05074806532222222,True,0.01
34,100,100,20000,0.25,25,0.55,10,0,"[1, 0.2, 0.5]",True,False,False,1908669482,1297,1297,1297,"(1026, 1226)",1.0,"100,100,20000,0.25,25,Normal Modes,10,1908669482",0.49993999999999994,0.05080310751111111,True,0.01
35,100,100,20000,0.25,25,0.55,10,0,"[1, 0.2, 0.5]",True,False,False,518574420,4886,4886,4886,"(3236, 3436)",1.0,"100,100,20000,0.25,25,Normal Modes,10,518574420",0.5031766666666666,0.05149379767777777,True,0.01
36,100,100,20000,0.25,25,0.55,10,0,"[1, 0.2, 0.5]",True,False,False,8069603,7951,7951,7951,"(12195, 12395)",1.0,"100,100,20000,0.25,25,Normal Modes,10,8069603",0.4979800000000001,0.0490856973777778,True,0.01
37,100,100,20000,0.25,25,0.55,10,0,"[1, 0.2, 0.5]",True,False,False,1245564907,7440,7440,7440,"(10171, 10371)",1.0,"100,100,20000,0.25,25,Normal Modes,10,1245564907",0.5005966666666666,0.05146442176666667,True,0.01
38,100,100,20000,0.25,25,0.55,10,0,"[1, 0.2, 0.5]",True,False,False,3113619571,4863,4863,4863,"(2208, 2408)",1.0,"100,100,20000,0.25,25,Normal Modes,10,3113619571",0.49696,0.04921853617777778,True,0.01
39,100,100,20000,0.25,25,0.55,10,0,"[1, 0.2, 0.5]",True,False,False,2099405386,6895,6895,6895,"(16861, 17061)",1.0,"100,100,20000,0.25,25,Normal Modes,10,2099405386",0.4971,0.05080514555555555,True,0.01
40,100,100,20000,0.25,25,0.55,10,0,"[1, 0.2, 0.5]",True,False,False,1725609472,4965,4965,4965,"(10791, 10991)",1.0,"100,100,20000,0.25,25,Normal Modes,10,1725609472",0.49450333333333335,0.04982745332222222,True,0.01
41,100,100,20000,0.25,25,0.55,10,0,"[1, 0.2, 0.5]",True,False,False,3043362175,8797,8797,8797,"(1646, 1846)",1.0,"100,100,20000,0.25,25,Normal Modes,10,3043362175",0.4976400000000001,0.0497864304,True,0.01
42,100,100,20000,0.25,25,0.55,10,0,"[1, 0.2, 0.5]",True,False,False,1315243235,6004,6004,6004,"(919, 1119)",1.0,"100,100,20000,0.25,25,Normal Modes,10,1315243235",0.5029566666666666,0.04938292478888889,True,0.01
43,100,100,20000,0.25,25,0.55,10,0,"[1, 0.2, 0.5]",True,False,False,3753131858,5907,5907,5907,"(4322, 4522)",1.0,"100,100,20000,0.25,25,Normal Modes,10,3753131858",0.49940666666666667,0.049943647955555566,True,0.01
44,100,100,20000,0.25,25,0.55,10,0,"[1, 0.2, 0.5]",True,False,False,3949076694,8964,8964,8964,"(11600, 11800)",1.0,"100,100,20000,0.25,25,Normal Modes,10,3949076694",0.49994333333333335,0.05008544123333333,True,0.01
45,100,100,20000,0.25,25,0.55,10,0,"[1, 0.2, 0.5]",True,False,False,426937971,5254,5254,5254,"(5780, 5980)",1.0,"100,100,20000,0.25,25,Normal Modes,10,426937971",0.49824333333333326,0.05080724745555556,True,0.01
46,100,100,20000,0.25,25,0.55,10,0,"[1, 0.2, 0.5]",True,False,False,4212881743,False,False,False,False,1.0,"100,100,20000,0.25,25,Normal Modes,10,4212881743",0.4980966666666667,0.04965204398888889,False,0.01
47,100,100,20000,0.25,25,0.55,10,0,"[1, 0.2, 0.5]",True,False,False,434004247,488,488,488,"(6420, 6620)",1.0,"100,100,20000,0.25,25,Normal Modes,10,434004247",0.4962099999999999,0.05158085812222223,True,0.01
48,100,100,20000,0.25,25,0.55,10,0,"[1, 0.2, 0.5]",True,False,False,1641468660,4284,4284,4284,"(8613, 8813)",1.0,"100,100,20000,0.25,25,Normal Modes,10,1641468660",0.5004266666666667,0.04905159573333334,True,0.01
49,100,100,20000,0.25,25,0.55,10,0,"[1, 0.2, 0.5]",True,False,False,3299867367,8453,8453,8453,"(3176, 3376)",1.0,"100,100,20000,0.25,25,Normal Modes,10,3299867367",0.49444,0.05101397528888889,True,0.01
50,100,100,20000,0.25,25,0.55,10,0,"[1, 0.2, 0.5]",True,False,False,2081893275,7308,7308,7308,"(7925, 8125)",1.0,"100,100,20000,0.25,25,Normal Modes,10,2081893275",0.4997,0.05098879888888889,True,0.01
51,100,100,20000,0.25,25,0.55,10,0,"[1, 0.2, 0.5]",True,False,False,2870779926,7554,7554,7554,"(10781, 10981)",1.0,"100,100,20000,0.25,25,Normal Modes,10,2870779926",0.5028433333333333,0.05069535990000001,True,0.01
