,width,height,runtime,threshold,sigmoid_strength,coupling,refractory_period,set_seed,normal_modes_config,graph,FullStateSave,stats,seed,location_2,location_3,location_4,AF_time,per_%,title,mean,variance,in AF?,multiplier
0,100,100,10000,0.25,25,0.55,10,0,"[5, 0.2, 0.5]",False,False,False,169560324,506,1104,1104,"(8121, 8321)",1.0,"100,100,10000,0.25,25,Normal Modes,10,169560324",0.50305,0.05074103083333333,True,7.25
1,100,100,10000,0.25,25,0.55,10,0,"[5, 0.2, 0.5]",False,False,False,44704658,False,False,False,False,1.0,"100,100,10000,0.25,25,Normal Modes,10,44704658",0.5006766666666667,0.052158764344444455,False,7.25
2,100,100,10000,0.25,25,0.55,10,0,"[5, 0.2, 0.5]",False,False,False,1552590379,8411,9804,9804,"(4526, 4726)",1.0,"100,100,10000,0.25,25,Normal Modes,10,1552590379",0.5054666666666666,0.050827893333333346,True,7.25
3,100,100,10000,0.25,25,0.55,10,0,"[5, 0.2, 0.5]",False,False,False,3256163128,False,False,False,False,1.0,"100,100,10000,0.25,25,Normal Modes,10,3256163128",0.5051899999999999,0.050751175011111115,False,7.25
4,100,100,10000,0.25,25,0.55,10,0,"[5, 0.2, 0.5]",False,False,False,3086161278,False,False,False,False,1.0,"100,100,10000,0.25,25,Normal Modes,10,3086161278",0.4962333333333333,0.05065470111111111,False,7.25
5,100,100,10000,0.25,25,0.55,10,0,"[5, 0.2, 0.5]",False,False,False,2215974415,False,False,False,False,1.0,"100,100,10000,0.25,25,Normal Modes,10,2215974415",0.49445666666666666,0.049572493677777774,False,7.25
6,100,100,10000,0.25,25,0.55,10,0,"[5, 0.2, 0.5]",False,False,False,180126842,4203,3703,3706,"(318, 518)",1.0,"100,100,10000,0.25,25,Normal Modes,10,180126842",0.5019233333333334,0.04995796745555556,True,7.25
7,100,100,10000,0.25,25,0.55,10,0,"[5, 0.2, 0.5]",False,False,False,503666741,False,False,False,False,1.0,"100,100,10000,0.25,25,Normal Modes,10,503666741",0.50507,0.049904406211111106,False,7.25
8,100,100,10000,0.25,25,0.55,10,0,"[5, 0.2, 0.5]",False,False,False,5815640,False,False,False,False,1.0,"100,100,10000,0.25,25,Normal Modes,10,5815640",0.49913,0.04980913198888889,False,7.25
9,100,100,10000,0.25,25,0.55,10,0,"[5, 0.2, 0.5]",False,False,False,2716500518,False,False,False,False,1.0,"100,100,10000,0.25,25,Normal Modes,10,2716500518",0.49804,0.050779713955555555,False,7.25
10,100,100,10000,0.25,25,0.55,10,0,"[5, 0.2, 0.5]",False,False,False,1935732499,8302,7906,9107,"(8119, 8319)",1.0,"100,100,10000,0.25,25,Normal Modes,10,1935732499",0.4992666666666666,0.05006879555555556,True,7.25
11,100,100,10000,0.25,25,0.55,10,0,"[5, 0.2, 0.5]",False,False,False,2300372354,False,False,False,False,1.0,"100,100,10000,0.25,25,Normal Modes,10,2300372354",0.50058,0.05008944137777777,False,7.25
12,100,100,10000,0.25,25,0.55,10,0,"[5, 0.2, 0.5]",False,False,False,3019029077,False,False,False,False,1.0,"100,100,10000,0.25,25,Normal Modes,10,3019029077",0.4989633333333333,0.05116748087777778,False,7.25
13,100,100,10000,0.25,25,0.55,10,0,"[5, 0.2, 0.5]",False,False,False,2410249851,1804,1405,1405,"(3523, 3723)",1.0,"100,100,10000,0.25,25,Normal Modes,10,2410249851",0.4998333333333333,0.05041975,True,7.25
14,100,100,10000,0.25,25,0.55,10,0,"[5, 0.2, 0.5]",False,False,False,2387029665,9703,7404,9703,"(1320, 1520)",1.0,"100,100,10000,0.25,25,Normal Modes,10,2387029665",0.4979233333333334,0.049544243011111114,True,7.25
