,width,height,runtime,threshold,sigmoid_strength,coupling,refractory_period,set_seed,normal_modes_config,graph,FullStateSave,stats,seed,location_2,location_3,location_4,location_err,AF_time,Hamming_dis_arr,per_%,title,mean,variance,in AF?,multiplier
0,100,100,10000,0.25,25,0.55,10,0,"[1, 0.2, 0.8]",False,False,False,4182051596,False,False,False,False,False,False,1.0,"100,100,10000,0.25,25,Normal Modes,10,4182051596",0.7977933333333332,0.03494624173333334,False,1.25
1,100,100,10000,0.25,25,0.55,10,0,"[1, 0.2, 0.8]",False,False,False,3149990031,7278,7278,7278,True,"(1600, 1800)","[[1.70957915809201, 1.709712631979602, 1.7454589608830635, 1.8915278946303968, 1.793066607343315, 1.8362974703903632, 2.059567500526495, 2.209357783326368, 2.1807024233749126, 2.090409418967067, 2.116127326530144, 2.161845433945755, 2.1891708786210518, 2.1894666102778246, 2.1074981718685315, 2.215818922467371]]",1.0,"100,100,10000,0.25,25,Normal Modes,10,3149990031",0.7994666666666667,0.03584527111111111,True,1.25
2,100,100,10000,0.25,25,0.55,10,0,"[1, 0.2, 0.8]",False,False,False,3241413891,6451,6451,6451,True,"(5367, 5567)","[[1.0565308117938659, 1.0181008813773185, 1.1238231084131314, 1.1232625472257143, 1.0952962852220423, 1.1295648296539367, 1.138155123464465, 1.1383502140509607, 1.1097540989451622, 1.1120368749961873, 1.1208956326597685, 1.069995430747173, 1.1196339789920544, 1.122844497069548, 1.0645251990465436, 1.104695109365792]]",1.0,"100,100,10000,0.25,25,Normal Modes,10,3241413891",0.7977466666666667,0.03506625582222223,True,1.25
3,100,100,10000,0.25,25,0.55,10,0,"[1, 0.2, 0.8]",False,False,False,1034328567,False,False,False,False,False,False,1.0,"100,100,10000,0.25,25,Normal Modes,10,1034328567",0.8032699999999999,0.03477764043333335,False,1.25
4,100,100,10000,0.25,25,0.55,10,0,"[1, 0.2, 0.8]",False,False,False,3374642310,9367,9367,9367,True,"(6986, 7186)","[[1.6933519952078135, 1.7126229068520544, 1.7986338195363853, 1.9047131276823375, 1.9604870585046097, 2.0923489549638643, 1.8550314008707267, 1.954465771543797, 2.042516829796024, 1.9829948696221733, 1.9412745059002996, 1.945788721829788, 2.0551482664205363, 1.990139734650535, 1.930435730927924, 1.9579147340898255]]",1.0,"100,100,10000,0.25,25,Normal Modes,10,3374642310",0.7996300000000001,0.03583219643333334,True,1.25
5,100,100,10000,0.25,25,0.55,10,0,"[1, 0.2, 0.8]",False,False,False,1446703768,6271,6271,6271,True,"(1789, 1989)","[[1.1066084439691797, 1.0822618866919023, 1.1173686902745883, 1.2086118609319898, 1.2504443654601796, 1.213074130457968, 1.321194745507094, 1.3105968702951845, 1.3247948630306827, 1.4490961096999027, 1.419391165351122, 1.5494875324309447, 1.5032883320314256, 1.4863158978147566, 1.5819171313243554, 1.5872267918885723]]",1.0,"100,100,10000,0.25,25,Normal Modes,10,1446703768",0.80052,0.03515350737777778,True,1.25
6,100,100,10000,0.25,25,0.55,10,0,"[1, 0.2, 0.8]",False,False,False,1505500148,7081,7081,6983,True,"(5003, 5203)","[[2.478278652485446, 2.221216282838735, 2.353562448363567, 2.435018880978142, 2.6388054424726244, 2.5941980539369687, 2.4675459863211446, 2.265642534618945, 2.373558718830343, 2.5318285444096817, 2.3326877618274264, 2.576018160886563, 2.6297624006328313, 2.3750308562708966, 2.5139452547319037, 2.413850091119308]]",1.0,"100,100,10000,0.25,25,Normal Modes,10,1505500148",0.7988266666666668,0.03554928995555556,True,1.25
7,100,100,10000,0.25,25,0.55,10,0,"[1, 0.2, 0.8]",False,False,False,1320320370,False,False,False,False,False,False,1.0,"100,100,10000,0.25,25,Normal Modes,10,1320320370",0.8011466666666667,0.03551979626666667,False,1.25
8,100,100,10000,0.25,25,0.55,10,0,"[1, 0.2, 0.8]",False,False,False,615257102,7670,7271,7670,True,"(190, 390)","[[1.2929175543974705, 1.203187716247677, 1.254011219096078, 1.237830879679823, 1.2712479807541204, 1.3114030814412005, 1.269035272112444, 1.259394608017123, 1.4106731881612304, 1.3294798711097127, 1.435539656690224, 1.4317941898457769, 1.364099767459474, 1.5797861473209285, 1.4602696816864325, 1.585558318513039]]",1.0,"100,100,10000,0.25,25,Normal Modes,10,615257102",0.7968799999999999,0.03603515448888889,True,1.25
9,100,100,10000,0.25,25,0.55,10,0,"[1, 0.2, 0.8]",False,False,False,2059771659,8785,8785,8785,True,"(3007, 3207)","[[1.9700361015103691, 2.1300502616696595, 2.259214313536042, 2.128461963371172, 2.0422484258447966, 2.060017602027021, 1.9188160560062688, 1.9891891883400392, 2.066292411584186, 2.1402503667490986, 2.282647985534879, 2.112958214550269, 2.143033502442879, 2.211267485854381, 2.3415035530378527, 2.3424858752219544]]",1.0,"100,100,10000,0.25,25,Normal Modes,10,2059771659",0.8040866666666667,0.03479529915555556,True,1.25
10,100,100,10000,0.25,25,0.55,10,0,"[1, 0.2, 0.8]",False,False,False,53535228,8458,8259,8259,True,"(977, 1177)","[[1.219458427012058, 1.141054850933778, 1.2919245326680815, 1.3556850291721372, 1.246963234590601, 1.2258657812257618, 1.260851494675392, 1.2115983334182785, 1.153395730882571, 1.3520911032698109, 1.453004931301879, 1.5922512968725082, 1.4273548502799116, 1.3212849591508722, 1.4181359978401773, 1.4494932316289888]]",1.0,"100,100,10000,0.25,25,Normal Modes,10,53535228",0.7976766666666666,0.037103602122222225,True,1.25
