,width,height,runtime,threshold,sigmoid_strength,coupling,refractory_period,set_seed,normal_modes_config,graph,FullStateSave,stats,seed,location_2,location_3,location_4,AF_time,per_%,title,mean,variance,in AF?,multiplier
0,100,100,20000,0.25,25,0.55,10,0,"[1, 0.2, 0.5]",False,False,False,3384399118,6704,6704,6704,"(1321, 1521)",1.0,"100,100,20000,0.25,25,Normal Modes,10,3384399118",0.5019600000000001,0.05088238062222223,True,0.04
1,100,100,20000,0.25,25,0.55,10,0,"[1, 0.2, 0.5]",False,False,False,2432371933,6763,4863,4863,"(6, 206)",1.0,"100,100,20000,0.25,25,Normal Modes,10,2432371933",0.4974333333333334,0.05017496777777778,True,0.04
2,100,100,20000,0.25,25,0.55,10,0,"[1, 0.2, 0.5]",False,False,False,1076916369,458,458,458,"(193, 393)",1.0,"100,100,20000,0.25,25,Normal Modes,10,1076916369",0.4970666666666667,0.05043339555555555,True,0.04
3,100,100,20000,0.25,25,0.55,10,0,"[1, 0.2, 0.5]",False,False,False,2588988753,8954,8954,8954,"(587, 787)",1.0,"100,100,20000,0.25,25,Normal Modes,10,2588988753",0.4960633333333333,0.05084639154444445,True,0.04
4,100,100,20000,0.25,25,0.55,10,0,"[1, 0.2, 0.5]",False,False,False,1012077635,9766,9766,9766,"(2421, 2621)",1.0,"100,100,20000,0.25,25,Normal Modes,10,1012077635",0.5011066666666666,0.05136744195555556,True,0.04
5,100,100,20000,0.25,25,0.55,10,0,"[1, 0.2, 0.5]",False,False,False,3868463256,9534,9534,9534,"(2357, 2557)",1.0,"100,100,20000,0.25,25,Normal Modes,10,3868463256",0.5002033333333333,0.05021673643333333,True,0.04
6,100,100,20000,0.25,25,0.55,10,0,"[1, 0.2, 0.5]",False,False,False,2006377528,6558,6558,6558,"(3387, 3587)",1.0,"100,100,20000,0.25,25,Normal Modes,10,2006377528",0.5034766666666667,0.052654023900000006,True,0.04
7,100,100,20000,0.25,25,0.55,10,0,"[1, 0.2, 0.5]",False,False,False,1470653565,5153,5153,5153,"(179, 379)",1.0,"100,100,20000,0.25,25,Normal Modes,10,1470653565",0.4988099999999999,0.050059806122222224,True,0.04
8,100,100,20000,0.25,25,0.55,10,0,"[1, 0.2, 0.5]",False,False,False,2712646234,8485,8485,8485,"(247, 447)",1.0,"100,100,20000,0.25,25,Normal Modes,10,2712646234",0.49305,0.0507086975,True,0.04
9,100,100,20000,0.25,25,0.55,10,0,"[1, 0.2, 0.5]",False,False,False,1619756797,9263,9263,9263,"(200, 400)",1.0,"100,100,20000,0.25,25,Normal Modes,10,1619756797",0.49718999999999997,0.04969554834444443,True,0.04
10,100,100,20000,0.25,25,0.55,10,0,"[1, 0.2, 0.5]",False,False,False,2375974283,8582,8582,8582,"(1865, 2065)",1.0,"100,100,20000,0.25,25,Normal Modes,10,2375974283",0.49863999999999997,0.050481483733333346,True,0.04
11,100,100,20000,0.25,25,0.55,10,0,"[1, 0.2, 0.5]",False,False,False,2951986629,7104,7104,7104,"(3721, 3921)",1.0,"100,100,20000,0.25,25,Normal Modes,10,2951986629",0.4982333333333332,0.05041443444444444,True,0.04
12,100,100,20000,0.25,25,0.55,10,0,"[1, 0.2, 0.5]",False,False,False,2597710717,6172,6172,6172,"(2220, 2420)",1.0,"100,100,20000,0.25,25,Normal Modes,10,2597710717",0.49895,0.049995230833333335,True,0.04
13,100,100,20000,0.25,25,0.55,10,0,"[1, 0.2, 0.5]",False,False,False,3788047730,7029,7029,7029,"(1950, 2150)",1.0,"100,100,20000,0.25,25,Normal Modes,10,3788047730",0.49716000000000005,0.05153393440000001,True,0.04
14,100,100,20000,0.25,25,0.55,10,0,"[1, 0.2, 0.5]",False,False,False,3199841636,9053,9053,9952,"(2779, 2979)",1.0,"100,100,20000,0.25,25,Normal Modes,10,3199841636",0.5027966666666667,0.050067400877777786,True,0.04
15,100,100,20000,0.25,25,0.55,10,0,"[1, 0.2, 0.5]",False,False,False,3432927377,9486,9486,9486,"(2029, 2229)",1.0,"100,100,20000,0.25,25,Normal Modes,10,3432927377",0.5015833333333333,0.04970338194444446,True,0.04
16,100,100,20000,0.25,25,0.55,10,0,"[1, 0.2, 0.5]",False,False,False,2589241652,9763,9763,9763,"(1392, 1592)",1.0,"100,100,20000,0.25,25,Normal Modes,10,2589241652",0.49785666666666656,0.050382850566666665,True,0.04
17,100,100,20000,0.25,25,0.55,10,0,"[1, 0.2, 0.5]",False,False,False,341896809,4383,4383,4383,"(1611, 1811)",1.0,"100,100,20000,0.25,25,Normal Modes,10,341896809",0.50025,0.051334715277777776,True,0.04
18,100,100,20000,0.25,25,0.55,10,0,"[1, 0.2, 0.5]",False,False,False,2354795931,2796,2796,2796,"(625, 825)",1.0,"100,100,20000,0.25,25,Normal Modes,10,2354795931",0.5068266666666666,0.05055317440000001,True,0.04
19,100,100,20000,0.25,25,0.55,10,0,"[1, 0.2, 0.5]",False,False,False,3682354583,5366,5366,5366,"(2393, 2593)",1.0,"100,100,20000,0.25,25,Normal Modes,10,3682354583",0.49977333333333335,0.05024328195555555,True,0.04
20,100,100,20000,0.25,25,0.55,10,0,"[1, 0.2, 0.5]",False,False,False,4215881146,7928,7928,7928,"(948, 1148)",1.0,"100,100,20000,0.25,25,Normal Modes,10,4215881146",0.5006833333333333,0.05134519972222222,True,0.04
21,100,100,20000,0.25,25,0.55,10,0,"[1, 0.2, 0.5]",False,False,False,3818887307,8266,8266,8266,"(1813, 2013)",1.0,"100,100,20000,0.25,25,Normal Modes,10,3818887307",0.5017133333333335,0.04895150893333334,True,0.04
