,width,height,runtime,threshold,sigmoid_strength,coupling,refractory_period,set_seed,normal_modes_config,graph,FullStateSave,stats,seed,location_2,location_3,location_4,AF_time,per_%,title,mean,variance,in AF?,multiplier
0,100,100,10000,0.25,25,0.55,10,0,"[1, 0.2, 0.5]",False,False,False,2354856242,4367,4367,4367,"(1, 191)",1.0,"100,100,10000,0.25,25,Normal Modes,10,2354856242",0.5042666666666668,0.05035201777777778,True,0.2
1,100,100,10000,0.25,25,0.55,10,0,"[1, 0.2, 0.5]",False,False,False,361703126,8385,8385,8385,"(42, 242)",1.0,"100,100,10000,0.25,25,Normal Modes,10,361703126",0.5046666666666667,0.050799111111111114,True,0.25
2,100,100,10000,0.25,25,0.55,10,0,"[1, 0.2, 0.5]",False,False,False,2116838666,4379,4379,4379,"(8, 208)",1.0,"100,100,10000,0.25,25,Normal Modes,10,2116838666",0.49590666666666666,0.050732355733333324,True,0.30000000000000004
3,100,100,10000,0.25,25,0.55,10,0,"[1, 0.2, 0.5]",False,False,False,1658995522,6602,6602,6602,"(1, 116)",0.0,"100,100,10000,0.25,25,Normal Modes,10,1658995522",0.4970333333333333,0.050962976666666666,True,0.35000000000000003
4,100,100,10000,0.25,25,0.55,10,0,"[1, 0.2, 0.5]",False,False,False,3286652727,8473,9094,9094,"(42, 242)",1.0,"100,100,10000,0.25,25,Normal Modes,10,3286652727",0.5006433333333333,0.04995280834444445,True,0.4
5,100,100,10000,0.25,25,0.55,10,0,"[1, 0.2, 0.5]",False,False,False,1053269131,7693,7489,7489,"(69, 269)",1.0,"100,100,10000,0.25,25,Normal Modes,10,1053269131",0.5002099999999999,0.050278289233333336,True,0.45
6,100,100,10000,0.25,25,0.55,10,0,"[1, 0.2, 0.5]",False,False,False,3681269521,5990,5990,6767,"(235, 435)",1.0,"100,100,10000,0.25,25,Normal Modes,10,3681269521",0.50415,0.05115866638888889,True,0.5
7,100,100,10000,0.25,25,0.55,10,0,"[1, 0.2, 0.5]",False,False,False,3488840862,4987,5089,5089,"(114, 314)",1.0,"100,100,10000,0.25,25,Normal Modes,10,3488840862",0.5031899999999999,0.05013526834444445,True,0.55
8,100,100,10000,0.25,25,0.55,10,0,"[1, 0.2, 0.5]",False,False,False,3630560429,8351,8351,8351,"(1, 178)",1.0,"100,100,10000,0.25,25,Normal Modes,10,3630560429",0.50323,0.050830567099999995,True,0.6000000000000001
9,100,100,10000,0.25,25,0.55,10,0,"[1, 0.2, 0.5]",False,False,False,2835406302,5055,5055,5055,"(1, 179)",1.0,"100,100,10000,0.25,25,Normal Modes,10,2835406302",0.49976333333333334,0.05074516621111112,True,0.65
10,100,100,10000,0.25,25,0.55,10,0,"[1, 0.2, 0.5]",False,False,False,1692924346,371,371,9980,"(3, 203)",1.0,"100,100,10000,0.25,25,Normal Modes,10,1692924346",0.5039933333333333,0.04931294217777779,True,0.7
