,width,height,runtime,threshold,sigmoid_strength,coupling,refractory_period,set_seed,constant,gradient,grad_start,grad_end,normal_modes,normal_modes_config,graph,FullStateSave,stats,seed,location_2,location_3,location_4,AF_time,per_%,title,mean,variance,in AF?
0,100,100,10000,0.25,25,0.55,10,0,False,False,0.3,0.4,True,"[1, 0.0, 0.0]",False,False,False,2849963637,False,False,False,False,1.0,"100,100,10000,0.25,25,Normal Modes,10,2849963637",0.0,0.0,False
1,100,100,10000,0.25,25,0.55,10,0,False,False,0.3,0.4,True,"[1, 0.0, 0.0]",False,False,False,2589256147,False,False,False,False,1.0,"100,100,10000,0.25,25,Normal Modes,10,2589256147",0.0,0.0,False
2,100,100,10000,0.25,25,0.55,10,0,False,False,0.3,0.4,True,"[1, 0.0, 0.0]",False,False,False,1410882154,False,False,False,False,1.0,"100,100,10000,0.25,25,Normal Modes,10,1410882154",0.0,0.0,False
3,100,100,10000,0.25,25,0.55,10,0,False,False,0.3,0.4,True,"[1, 0.0, 0.0]",False,False,False,2245633268,False,False,False,False,1.0,"100,100,10000,0.25,25,Normal Modes,10,2245633268",0.0,0.0,False
4,100,100,10000,0.25,25,0.55,10,0,False,False,0.3,0.4,True,"[1, 0.0, 0.0]",False,False,False,1057959638,False,False,False,False,1.0,"100,100,10000,0.25,25,Normal Modes,10,1057959638",0.0,0.0,False
5,100,100,10000,0.25,25,0.55,10,0,False,False,0.3,0.4,True,"[1, 0.0, 0.0]",False,False,False,4148857133,False,False,False,False,1.0,"100,100,10000,0.25,25,Normal Modes,10,4148857133",0.0,0.0,False
6,100,100,10000,0.25,25,0.55,10,0,False,False,0.3,0.4,True,"[1, 0.0, 0.0]",False,False,False,2975486637,False,False,False,False,1.0,"100,100,10000,0.25,25,Normal Modes,10,2975486637",0.0,0.0,False
7,100,100,10000,0.25,25,0.55,10,0,False,False,0.3,0.4,True,"[1, 0.0, 0.0]",False,False,False,2157239769,False,False,False,False,1.0,"100,100,10000,0.25,25,Normal Modes,10,2157239769",0.0,0.0,False
8,100,100,10000,0.25,25,0.55,10,0,False,False,0.3,0.4,True,"[1, 0.0, 0.0]",False,False,False,1356477674,False,False,False,False,1.0,"100,100,10000,0.25,25,Normal Modes,10,1356477674",0.0,0.0,False
9,100,100,10000,0.25,25,0.55,10,0,False,False,0.3,0.4,True,"[1, 0.0, 0.0]",False,False,False,1254428602,False,False,False,False,1.0,"100,100,10000,0.25,25,Normal Modes,10,1254428602",0.0,0.0,False
10,100,100,10000,0.25,25,0.55,10,0,False,False,0.3,0.4,True,"[1, 0.0, 0.0]",False,False,False,2187879619,False,False,False,False,1.0,"100,100,10000,0.25,25,Normal Modes,10,2187879619",0.0,0.0,False
11,100,100,10000,0.25,25,0.55,10,0,False,False,0.3,0.4,True,"[1, 0.0, 0.0]",False,False,False,649236779,False,False,False,False,1.0,"100,100,10000,0.25,25,Normal Modes,10,649236779",0.0,0.0,False
12,100,100,10000,0.25,25,0.55,10,0,False,False,0.3,0.4,True,"[1, 0.0, 0.0]",False,False,False,359245984,False,False,False,False,1.0,"100,100,10000,0.25,25,Normal Modes,10,359245984",0.0,0.0,False
13,100,100,10000,0.25,25,0.55,10,0,False,False,0.3,0.4,True,"[1, 0.0, 0.0]",False,False,False,3400775949,False,False,False,False,1.0,"100,100,10000,0.25,25,Normal Modes,10,3400775949",0.0,0.0,False
14,100,100,10000,0.25,25,0.55,10,0,False,False,0.3,0.4,True,"[1, 0.0, 0.0]",False,False,False,1055683814,False,False,False,False,1.0,"100,100,10000,0.25,25,Normal Modes,10,1055683814",0.0,0.0,False
15,100,100,10000,0.25,25,0.55,10,0,False,False,0.3,0.4,True,"[1, 0.0, 0.0]",False,False,False,3549799031,False,False,False,False,1.0,"100,100,10000,0.25,25,Normal Modes,10,3549799031",0.0,0.0,False
16,100,100,10000,0.25,25,0.55,10,0,False,False,0.3,0.4,True,"[1, 0.0, 0.0]",False,False,False,1239947700,False,False,False,False,1.0,"100,100,10000,0.25,25,Normal Modes,10,1239947700",0.0,0.0,False
17,100,100,10000,0.25,25,0.55,10,0,False,False,0.3,0.4,True,"[1, 0.0, 0.0]",False,False,False,2079085822,False,False,False,False,1.0,"100,100,10000,0.25,25,Normal Modes,10,2079085822",0.0,0.0,False
18,100,100,10000,0.25,25,0.55,10,0,False,False,0.3,0.4,True,"[1, 0.0, 0.0]",False,False,False,4256936855,False,False,False,False,1.0,"100,100,10000,0.25,25,Normal Modes,10,4256936855",0.0,0.0,False
19,100,100,10000,0.25,25,0.55,10,0,False,False,0.3,0.4,True,"[1, 0.0, 0.0]",False,False,False,316208857,False,False,False,False,1.0,"100,100,10000,0.25,25,Normal Modes,10,316208857",0.0,0.0,False
20,100,100,10000,0.25,25,0.55,10,0,False,False,0.3,0.4,True,"[1, 0.0, 0.0]",False,False,False,4118747983,False,False,False,False,1.0,"100,100,10000,0.25,25,Normal Modes,10,4118747983",0.0,0.0,False
21,100,100,10000,0.25,25,0.55,10,0,False,False,0.3,0.4,True,"[1, 0.0, 0.0]",False,False,False,989567136,False,False,False,False,1.0,"100,100,10000,0.25,25,Normal Modes,10,989567136",0.0,0.0,False
22,100,100,10000,0.25,25,0.55,10,0,False,False,0.3,0.4,True,"[1, 0.0, 0.0]",False,False,False,3874997476,False,False,False,False,1.0,"100,100,10000,0.25,25,Normal Modes,10,3874997476",0.0,0.0,False
23,100,100,10000,0.25,25,0.55,10,0,False,False,0.3,0.4,True,"[1, 0.0, 0.0]",False,False,False,4066414435,False,False,False,False,1.0,"100,100,10000,0.25,25,Normal Modes,10,4066414435",0.0,0.0,False
24,100,100,10000,0.25,25,0.55,10,0,False,False,0.3,0.4,True,"[1, 0.0, 0.0]",False,False,False,229060951,False,False,False,False,1.0,"100,100,10000,0.25,25,Normal Modes,10,229060951",0.0,0.0,False
25,100,100,10000,0.25,25,0.55,10,0,False,False,0.3,0.4,True,"[1, 0.05, 0.0]",False,False,False,2663171434,False,False,False,False,1.0,"100,100,10000,0.25,25,Normal Modes,10,2663171434",0.01022333333333333,0.0018729278999999991,False
26,100,100,10000,0.25,25,0.55,10,0,False,False,0.3,0.4,True,"[1, 0.05, 0.0]",False,False,False,3851398734,False,False,False,False,1.0,"100,100,10000,0.25,25,Normal Modes,10,3851398734",0.010906666666666667,0.0019923779555555553,False
27,100,100,10000,0.25,25,0.55,10,0,False,False,0.3,0.4,True,"[1, 0.05, 0.0]",False,False,False,747397144,False,False,False,False,1.0,"100,100,10000,0.25,25,Normal Modes,10,747397144",0.009726666666666666,0.0017396141777777777,False
28,100,100,10000,0.25,25,0.55,10,0,False,False,0.3,0.4,True,"[1, 0.05, 0.0]",False,False,False,542716916,False,False,False,False,1.0,"100,100,10000,0.25,25,Normal Modes,10,542716916",0.01032,0.0018808309333333334,False
29,100,100,10000,0.25,25,0.55,10,0,False,False,0.3,0.4,True,"[1, 0.05, 0.0]",False,False,False,3663693617,False,False,False,False,1.0,"100,100,10000,0.25,25,Normal Modes,10,3663693617",0.010879999999999999,0.002008736711111111,False
30,100,100,10000,0.25,25,0.55,10,0,False,False,0.3,0.4,True,"[1, 0.05, 0.0]",False,False,False,2031203460,False,False,False,False,1.0,"100,100,10000,0.25,25,Normal Modes,10,2031203460",0.010293333333333333,0.0019227139555555556,False
31,100,100,10000,0.25,25,0.55,10,0,False,False,0.3,0.4,True,"[1, 0.05, 0.0]",False,False,False,4181629854,False,False,False,False,1.0,"100,100,10000,0.25,25,Normal Modes,10,4181629854",0.01028,0.0017992104888888889,False
32,100,100,10000,0.25,25,0.55,10,0,False,False,0.3,0.4,True,"[1, 0.05, 0.0]",False,False,False,1761584331,False,False,False,False,1.0,"100,100,10000,0.25,25,Normal Modes,10,1761584331",0.010409999999999999,0.0018564096777777773,False
33,100,100,10000,0.25,25,0.55,10,0,False,False,0.3,0.4,True,"[1, 0.05, 0.0]",False,False,False,1213337450,False,False,False,False,1.0,"100,100,10000,0.25,25,Normal Modes,10,1213337450",0.011636666666666667,0.002132476877777778,False
34,100,100,10000,0.25,25,0.55,10,0,False,False,0.3,0.4,True,"[1, 0.05, 0.0]",False,False,False,2908500968,False,False,False,False,1.0,"100,100,10000,0.25,25,Normal Modes,10,2908500968",0.01038,0.0018527000444444437,False
35,100,100,10000,0.25,25,0.55,10,0,False,False,0.3,0.4,True,"[1, 0.05, 0.0]",False,False,False,3791750990,False,False,False,False,1.0,"100,100,10000,0.25,25,Normal Modes,10,3791750990",0.010956666666666667,0.0020600625666666664,False
36,100,100,10000,0.25,25,0.55,10,0,False,False,0.3,0.4,True,"[1, 0.05, 0.0]",False,False,False,847682670,False,False,False,False,1.0,"100,100,10000,0.25,25,Normal Modes,10,847682670",0.009713333333333333,0.0017549844888888892,False
37,100,100,10000,0.25,25,0.55,10,0,False,False,0.3,0.4,True,"[1, 0.05, 0.0]",False,False,False,3190363418,False,False,False,False,1.0,"100,100,10000,0.25,25,Normal Modes,10,3190363418",0.010113333333333334,0.0018359427111111109,False
38,100,100,10000,0.25,25,0.55,10,0,False,False,0.3,0.4,True,"[1, 0.05, 0.0]",False,False,False,2212585791,False,False,False,False,1.0,"100,100,10000,0.25,25,Normal Modes,10,2212585791",0.009949999999999999,0.0019071086111111107,False
39,100,100,10000,0.25,25,0.55,10,0,False,False,0.3,0.4,True,"[1, 0.05, 0.0]",False,False,False,3923940570,False,False,False,False,1.0,"100,100,10000,0.25,25,Normal Modes,10,3923940570",0.01035,0.0019212108333333333,False
40,100,100,10000,0.25,25,0.55,10,0,False,False,0.3,0.4,True,"[1, 0.05, 0.0]",False,False,False,392070433,False,False,False,False,1.0,"100,100,10000,0.25,25,Normal Modes,10,392070433",0.00971,0.0017760492333333336,False
41,100,100,10000,0.25,25,0.55,10,0,False,False,0.3,0.4,True,"[1, 0.05, 0.0]",False,False,False,1208244660,False,False,False,False,1.0,"100,100,10000,0.25,25,Normal Modes,10,1208244660",0.010553333333333333,0.0019426271555555556,False
42,100,100,10000,0.25,25,0.55,10,0,False,False,0.3,0.4,True,"[1, 0.05, 0.0]",False,False,False,3315909168,False,False,False,False,1.0,"100,100,10000,0.25,25,Normal Modes,10,3315909168",0.009303333333333334,0.001712447988888889,False
43,100,100,10000,0.25,25,0.55,10,0,False,False,0.3,0.4,True,"[1, 0.05, 0.0]",False,False,False,2729621216,False,False,False,False,1.0,"100,100,10000,0.25,25,Normal Modes,10,2729621216",0.009703333333333333,0.001729289766666666,False
