,width,height,runtime,threshold,sigmoid_strength,coupling,refractory_period,set_seed,normal_modes_config,graph,FullStateSave,stats,seed,location_2,location_3,location_4,location_err,AF_time,Hamming_dis_arr,per_%,title,mean,variance,in AF?,multiplier
0,100,100,10000,0.25,25,0.55,10,0,"[1, 0.0, 0.0]",True,False,False,2032478759,False,False,False,False,False,False,0.0,"100,100,10000,0.25,25,Normal Modes,10,2032478759",0.0,0.0,False,1
1,100,100,10000,0.25,25,0.55,10,0,"[1, 0.0, 0.0]",True,False,False,2114796037,False,False,False,False,False,False,0.0,"100,100,10000,0.25,25,Normal Modes,10,2114796037",0.0,0.0,False,1
2,100,100,10000,0.25,25,0.55,10,0,"[1, 0.0, 0.0]",True,False,False,348217143,False,False,False,False,False,False,0.0,"100,100,10000,0.25,25,Normal Modes,10,348217143",0.0,0.0,False,1
3,100,100,10000,0.25,25,0.55,10,0,"[1, 0.0, 0.0]",True,False,False,3384833754,False,False,False,False,False,False,0.0,"100,100,10000,0.25,25,Normal Modes,10,3384833754",0.0,0.0,False,1
4,100,100,10000,0.25,25,0.55,10,0,"[1, 0.0, 0.0]",True,False,False,899676351,False,False,False,False,False,False,0.0,"100,100,10000,0.25,25,Normal Modes,10,899676351",0.0,0.0,False,1
5,100,100,10000,0.25,25,0.55,10,0,"[1, 0.0, 0.0]",True,False,False,2678426837,False,False,False,False,False,False,0.0,"100,100,10000,0.25,25,Normal Modes,10,2678426837",0.0,0.0,False,1
6,100,100,10000,0.25,25,0.55,10,0,"[1, 0.0, 0.0]",True,False,False,1978053594,False,False,False,False,False,False,0.0,"100,100,10000,0.25,25,Normal Modes,10,1978053594",0.0,0.0,False,1
7,100,100,10000,0.25,25,0.55,10,0,"[1, 0.0, 0.0]",True,False,False,3241915217,False,False,False,False,False,False,0.0,"100,100,10000,0.25,25,Normal Modes,10,3241915217",0.0,0.0,False,1
8,100,100,10000,0.25,25,0.55,10,0,"[1, 0.0, 0.0]",True,False,False,3562710425,False,False,False,False,False,False,0.0,"100,100,10000,0.25,25,Normal Modes,10,3562710425",0.0,0.0,False,1
9,100,100,10000,0.25,25,0.55,10,0,"[1, 0.0, 0.0]",True,False,False,297907021,False,False,False,False,False,False,0.0,"100,100,10000,0.25,25,Normal Modes,10,297907021",0.0,0.0,False,1
10,100,100,10000,0.25,25,0.55,10,0,"[1, 0.0, 0.0]",True,False,False,1344547379,False,False,False,False,False,False,0.0,"100,100,10000,0.25,25,Normal Modes,10,1344547379",0.0,0.0,False,1
11,100,100,10000,0.25,25,0.55,10,0,"[1, 0.0, 0.0]",True,False,False,3273677048,False,False,False,False,False,False,0.0,"100,100,10000,0.25,25,Normal Modes,10,3273677048",0.0,0.0,False,1
12,100,100,10000,0.25,25,0.55,10,0,"[1, 0.0, 0.0]",True,False,False,174163077,False,False,False,False,False,False,0.0,"100,100,10000,0.25,25,Normal Modes,10,174163077",0.0,0.0,False,1
13,100,100,10000,0.25,25,0.55,10,0,"[1, 0.0, 0.0]",True,False,False,1925849211,False,False,False,False,False,False,0.0,"100,100,10000,0.25,25,Normal Modes,10,1925849211",0.0,0.0,False,1
14,100,100,10000,0.25,25,0.55,10,0,"[1, 0.0, 0.0]",True,False,False,4157859626,False,False,False,False,False,False,0.0,"100,100,10000,0.25,25,Normal Modes,10,4157859626",0.0,0.0,False,1
15,100,100,10000,0.25,25,0.55,10,0,"[1, 0.05, 0.0]",True,False,False,3689089801,False,False,False,False,False,False,0.0,"100,100,10000,0.25,25,Normal Modes,10,3689089801",0.0096,0.0017722844444444444,False,1
16,100,100,10000,0.25,25,0.55,10,0,"[1, 0.05, 0.0]",True,False,False,3844321075,False,False,False,False,False,False,0.0,"100,100,10000,0.25,25,Normal Modes,10,3844321075",0.009456666666666667,0.0017157936777777774,False,1
17,100,100,10000,0.25,25,0.55,10,0,"[1, 0.05, 0.0]",True,False,False,1561396934,False,False,False,False,False,False,0.0,"100,100,10000,0.25,25,Normal Modes,10,1561396934",0.012086666666666664,0.0024025791555555556,False,1
18,100,100,10000,0.25,25,0.55,10,0,"[1, 0.05, 0.0]",True,False,False,934841803,False,False,False,False,False,False,0.0,"100,100,10000,0.25,25,Normal Modes,10,934841803",0.010773333333333333,0.0019808241777777773,False,1
19,100,100,10000,0.25,25,0.55,10,0,"[1, 0.05, 0.0]",True,False,False,1621065077,False,False,False,False,False,False,0.0,"100,100,10000,0.25,25,Normal Modes,10,1621065077",0.010349999999999998,0.001804544166666667,False,1
20,100,100,10000,0.25,25,0.55,10,0,"[1, 0.05, 0.0]",True,False,False,4090598296,False,False,False,False,False,False,0.0,"100,100,10000,0.25,25,Normal Modes,10,4090598296",0.010533333333333332,0.0019479377777777778,False,1
21,100,100,10000,0.25,25,0.55,10,0,"[1, 0.05, 0.0]",True,False,False,2021691977,False,False,False,False,False,False,0.0,"100,100,10000,0.25,25,Normal Modes,10,2021691977",0.009776666666666664,0.001780305677777778,False,1
22,100,100,10000,0.25,25,0.55,10,0,"[1, 0.05, 0.0]",True,False,False,1155433400,False,False,False,False,False,False,0.0,"100,100,10000,0.25,25,Normal Modes,10,1155433400",0.009803333333333332,0.001799561322222222,False,1
23,100,100,10000,0.25,25,0.55,10,0,"[1, 0.05, 0.0]",True,False,False,485442169,False,False,False,False,False,False,0.0,"100,100,10000,0.25,25,Normal Modes,10,485442169",0.010913333333333332,0.0020382324888888886,False,1
