,width,height,runtime,threshold,sigmoid_strength,coupling,refractory_period,set_seed,normal_modes_config,graph,FullStateSave,stats,seed,location_2,location_3,location_4,location_err,AF_time,Hamming_dis_arr,Ham_dis_AF,Ham_dis_meanx,per_%,title,mean,variance,in AF?,multiplier
0,100,100,10000,0.25,25,0.55,10,0,"[2, 0.0, 0.0]",True,False,False,180167029,False,False,False,False,False,False,False,False,0.0,"100,100,10000,0.25,25,Normal Modes,10,180167029",0.0,0.0,False,1
1,100,100,10000,0.25,25,0.55,10,0,"[2, 0.0, 0.0]",True,False,False,654008524,False,False,False,False,False,False,False,False,0.0,"100,100,10000,0.25,25,Normal Modes,10,654008524",0.0,0.0,False,1
2,100,100,10000,0.25,25,0.55,10,0,"[2, 0.0, 0.0]",True,False,False,521323570,False,False,False,False,False,False,False,False,0.0,"100,100,10000,0.25,25,Normal Modes,10,521323570",0.0,0.0,False,1
3,100,100,10000,0.25,25,0.55,10,0,"[2, 0.0, 0.0]",True,False,False,1450790208,False,False,False,False,False,False,False,False,0.0,"100,100,10000,0.25,25,Normal Modes,10,1450790208",0.0,0.0,False,1
4,100,100,10000,0.25,25,0.55,10,0,"[2, 0.0, 0.0]",True,False,False,1985141106,False,False,False,False,False,False,False,False,0.0,"100,100,10000,0.25,25,Normal Modes,10,1985141106",0.0,0.0,False,1
5,100,100,10000,0.25,25,0.55,10,0,"[2, 0.0, 0.0]",True,False,False,2152780866,False,False,False,False,False,False,False,False,0.0,"100,100,10000,0.25,25,Normal Modes,10,2152780866",0.0,0.0,False,1
6,100,100,10000,0.25,25,0.55,10,0,"[2, 0.0, 0.0]",True,False,False,795118214,False,False,False,False,False,False,False,False,0.0,"100,100,10000,0.25,25,Normal Modes,10,795118214",0.0,0.0,False,1
7,100,100,10000,0.25,25,0.55,10,0,"[2, 0.0, 0.0]",True,False,False,1919917488,False,False,False,False,False,False,False,False,0.0,"100,100,10000,0.25,25,Normal Modes,10,1919917488",0.0,0.0,False,1
8,100,100,10000,0.25,25,0.55,10,0,"[2, 0.0, 0.0]",True,False,False,1058256640,False,False,False,False,False,False,False,False,0.0,"100,100,10000,0.25,25,Normal Modes,10,1058256640",0.0,0.0,False,1
9,100,100,10000,0.25,25,0.55,10,0,"[2, 0.0, 0.0]",True,False,False,2238369799,False,False,False,False,False,False,False,False,0.0,"100,100,10000,0.25,25,Normal Modes,10,2238369799",0.0,0.0,False,1
10,100,100,10000,0.25,25,0.55,10,0,"[2, 0.0, 0.0]",True,False,False,4174433971,False,False,False,False,False,False,False,False,0.0,"100,100,10000,0.25,25,Normal Modes,10,4174433971",0.0,0.0,False,1
11,100,100,10000,0.25,25,0.55,10,0,"[2, 0.0, 0.0]",True,False,False,562754840,False,False,False,False,False,False,False,False,0.0,"100,100,10000,0.25,25,Normal Modes,10,562754840",0.0,0.0,False,1
12,100,100,10000,0.25,25,0.55,10,0,"[2, 0.0, 0.0]",True,False,False,3575333613,False,False,False,False,False,False,False,False,0.0,"100,100,10000,0.25,25,Normal Modes,10,3575333613",0.0,0.0,False,1
13,100,100,10000,0.25,25,0.55,10,0,"[2, 0.0, 0.0]",True,False,False,1215757219,False,False,False,False,False,False,False,False,0.0,"100,100,10000,0.25,25,Normal Modes,10,1215757219",0.0,0.0,False,1
14,100,100,10000,0.25,25,0.55,10,0,"[2, 0.0, 0.0]",True,False,False,1177183755,False,False,False,False,False,False,False,False,0.0,"100,100,10000,0.25,25,Normal Modes,10,1177183755",0.0,0.0,False,1
15,100,100,10000,0.25,25,0.55,10,0,"[2, 0.0, 0.0]",True,False,False,811630367,False,False,False,False,False,False,False,False,0.0,"100,100,10000,0.25,25,Normal Modes,10,811630367",0.0,0.0,False,1
16,100,100,10000,0.25,25,0.55,10,0,"[2, 0.0, 0.0]",True,False,False,1443991036,False,False,False,False,False,False,False,False,0.0,"100,100,10000,0.25,25,Normal Modes,10,1443991036",0.0,0.0,False,1
17,100,100,10000,0.25,25,0.55,10,0,"[2, 0.0, 0.0]",True,False,False,1589698851,False,False,False,False,False,False,False,False,0.0,"100,100,10000,0.25,25,Normal Modes,10,1589698851",0.0,0.0,False,1
18,100,100,10000,0.25,25,0.55,10,0,"[2, 0.0, 0.0]",True,False,False,3657010194,False,False,False,False,False,False,False,False,0.0,"100,100,10000,0.25,25,Normal Modes,10,3657010194",0.0,0.0,False,1
19,100,100,10000,0.25,25,0.55,10,0,"[2, 0.0, 0.0]",True,False,False,2078398480,False,False,False,False,False,False,False,False,0.0,"100,100,10000,0.25,25,Normal Modes,10,2078398480",0.0,0.0,False,1
20,100,100,10000,0.25,25,0.55,10,0,"[2, 0.0, 0.0]",True,False,False,2198638261,False,False,False,False,False,False,False,False,0.0,"100,100,10000,0.25,25,Normal Modes,10,2198638261",0.0,0.0,False,1
21,100,100,10000,0.25,25,0.55,10,0,"[2, 0.0, 0.0]",True,False,False,1811737308,False,False,False,False,False,False,False,False,0.0,"100,100,10000,0.25,25,Normal Modes,10,1811737308",0.0,0.0,False,1
22,100,100,10000,0.25,25,0.55,10,0,"[2, 0.0, 0.0]",True,False,False,35026369,False,False,False,False,False,False,False,False,0.0,"100,100,10000,0.25,25,Normal Modes,10,35026369",0.0,0.0,False,1
23,100,100,10000,0.25,25,0.55,10,0,"[2, 0.0, 0.0]",True,False,False,828517157,False,False,False,False,False,False,False,False,0.0,"100,100,10000,0.25,25,Normal Modes,10,828517157",0.0,0.0,False,1
24,100,100,10000,0.25,25,0.55,10,0,"[2, 0.0, 0.0]",True,False,False,2230678884,False,False,False,False,False,False,False,False,0.0,"100,100,10000,0.25,25,Normal Modes,10,2230678884",0.0,0.0,False,1
25,100,100,10000,0.25,25,0.55,10,0,"[2, 0.05, 0.0]",True,False,False,2462073526,False,False,False,False,False,False,False,False,0.0,"100,100,10000,0.25,25,Normal Modes,10,2462073526",0.010353333333333332,0.0020079195999999993,False,1
26,100,100,10000,0.25,25,0.55,10,0,"[2, 0.05, 0.0]",True,False,False,2523166385,False,False,False,False,False,False,False,False,0.0,"100,100,10000,0.25,25,Normal Modes,10,2523166385",0.010676666666666666,0.0019507865666666666,False,1
27,100,100,10000,0.25,25,0.55,10,0,"[2, 0.05, 0.0]",True,False,False,2670346568,False,False,False,False,False,False,False,False,0.0,"100,100,10000,0.25,25,Normal Modes,10,2670346568",0.010146666666666665,0.001829711822222222,False,1
28,100,100,10000,0.25,25,0.55,10,0,"[2, 0.05, 0.0]",True,False,False,2495106645,False,False,False,False,False,False,False,False,0.0,"100,100,10000,0.25,25,Normal Modes,10,2495106645",0.01008,0.0018890602666666663,False,1
29,100,100,10000,0.25,25,0.55,10,0,"[2, 0.05, 0.0]",True,False,False,3507010559,False,False,False,False,False,False,False,False,0.0,"100,100,10000,0.25,25,Normal Modes,10,3507010559",0.009813333333333332,0.0017974762666666663,False,1
30,100,100,10000,0.25,25,0.55,10,0,"[2, 0.05, 0.0]",True,False,False,1296709509,False,False,False,False,False,False,False,False,0.0,"100,100,10000,0.25,25,Normal Modes,10,1296709509",0.010863333333333332,0.002022987988888889,False,1
31,100,100,10000,0.25,25,0.55,10,0,"[2, 0.05, 0.0]",True,False,False,2182244010,False,False,False,False,False,False,False,False,0.0,"100,100,10000,0.25,25,Normal Modes,10,2182244010",0.010503333333333333,0.0019297911000000002,False,1
32,100,100,10000,0.25,25,0.55,10,0,"[2, 0.05, 0.0]",True,False,False,994352834,False,False,False,False,False,False,False,False,0.0,"100,100,10000,0.25,25,Normal Modes,10,994352834",0.009513333333333332,0.0017121631555555557,False,1
33,100,100,10000,0.25,25,0.55,10,0,"[2, 0.05, 0.0]",True,False,False,3526012980,False,False,False,False,False,False,False,False,0.0,"100,100,10000,0.25,25,Normal Modes,10,3526012980",0.009729999999999999,0.0018296604333333329,False,1
34,100,100,10000,0.25,25,0.55,10,0,"[2, 0.05, 0.0]",True,False,False,3517857759,False,False,False,False,False,False,False,False,0.0,"100,100,10000,0.25,25,Normal Modes,10,3517857759",0.010106666666666668,0.0018447441777777772,False,1
35,100,100,10000,0.25,25,0.55,10,0,"[2, 0.05, 0.0]",True,False,False,3133387250,False,False,False,False,False,False,False,False,0.0,"100,100,10000,0.25,25,Normal Modes,10,3133387250",0.009329999999999998,0.0017539510999999997,False,1
36,100,100,10000,0.25,25,0.55,10,0,"[2, 0.05, 0.0]",True,False,False,1662921772,False,False,False,False,False,False,False,False,0.0,"100,100,10000,0.25,25,Normal Modes,10,1662921772",0.011043333333333332,0.0020317114555555554,False,1
37,100,100,10000,0.25,25,0.55,10,0,"[2, 0.05, 0.0]",True,False,False,4238001629,False,False,False,False,False,False,False,False,0.0,"100,100,10000,0.25,25,Normal Modes,10,4238001629",0.010020000000000001,0.0018291551555555553,False,1
38,100,100,10000,0.25,25,0.55,10,0,"[2, 0.05, 0.0]",True,False,False,1347867686,False,False,False,False,False,False,False,False,0.0,"100,100,10000,0.25,25,Normal Modes,10,1347867686",0.009473333333333334,0.0017627004,False,1
39,100,100,10000,0.25,25,0.55,10,0,"[2, 0.05, 0.0]",True,False,False,2232760502,False,False,False,False,False,False,False,False,0.0,"100,100,10000,0.25,25,Normal Modes,10,2232760502",0.010183333333333332,0.0018301886111111109,False,1
40,100,100,10000,0.25,25,0.55,10,0,"[2, 0.05, 0.0]",True,False,False,186847918,False,False,False,False,False,False,False,False,0.0,"100,100,10000,0.25,25,Normal Modes,10,186847918",0.009806666666666667,0.0017451626222222223,False,1
41,100,100,10000,0.25,25,0.55,10,0,"[2, 0.05, 0.0]",True,False,False,3290896577,False,False,False,False,False,False,False,False,0.0,"100,100,10000,0.25,25,Normal Modes,10,3290896577",0.008263333333333333,0.001489383988888889,False,1
42,100,100,10000,0.25,25,0.55,10,0,"[2, 0.05, 0.0]",True,False,False,2180140531,False,False,False,False,False,False,False,False,0.0,"100,100,10000,0.25,25,Normal Modes,10,2180140531",0.010326666666666666,0.0018775821777777771,False,1
43,100,100,10000,0.25,25,0.55,10,0,"[2, 0.05, 0.0]",True,False,False,326982253,False,False,False,False,False,False,False,False,0.0,"100,100,10000,0.25,25,Normal Modes,10,326982253",0.009366666666666666,0.0017544877777777774,False,1
44,100,100,10000,0.25,25,0.55,10,0,"[2, 0.05, 0.0]",True,False,False,2158499664,False,False,False,False,False,False,False,False,0.0,"100,100,10000,0.25,25,Normal Modes,10,2158499664",0.009176666666666666,0.0016305665666666667,False,1
45,100,100,10000,0.25,25,0.55,10,0,"[2, 0.05, 0.0]",True,False,False,4045750102,False,False,False,False,False,False,False,False,0.0,"100,100,10000,0.25,25,Normal Modes,10,4045750102",0.010353333333333332,0.001913475155555555,False,1
46,100,100,10000,0.25,25,0.55,10,0,"[2, 0.05, 0.0]",True,False,False,3518438594,False,False,False,False,False,False,False,False,0.0,"100,100,10000,0.25,25,Normal Modes,10,3518438594",0.010063333333333332,0.0018341737666666667,False,1
47,100,100,10000,0.25,25,0.55,10,0,"[2, 0.05, 0.0]",True,False,False,2944128111,False,False,False,False,False,False,False,False,0.0,"100,100,10000,0.25,25,Normal Modes,10,2944128111",0.009983333333333334,0.0018508886111111103,False,1
48,100,100,10000,0.25,25,0.55,10,0,"[2, 0.05, 0.0]",True,False,False,2461073593,False,False,False,False,False,False,False,False,0.0,"100,100,10000,0.25,25,Normal Modes,10,2461073593",0.011523333333333333,0.0021113239,False,1
49,100,100,10000,0.25,25,0.55,10,0,"[2, 0.05, 0.0]",True,False,False,4211660477,False,False,False,False,False,False,False,False,0.0,"100,100,10000,0.25,25,Normal Modes,10,4211660477",0.010246666666666666,0.001827672488888889,False,1
50,100,100,10000,0.25,25,0.55,10,0,"[2, 0.1, 0.0]",True,False,False,3471599276,False,False,False,False,False,False,False,False,0.0,"100,100,10000,0.25,25,Normal Modes,10,3471599276",0.01978333333333333,0.0038982863888888893,False,1
51,100,100,10000,0.25,25,0.55,10,0,"[2, 0.1, 0.0]",True,False,False,719148782,False,False,False,False,False,False,False,False,0.0,"100,100,10000,0.25,25,Normal Modes,10,719148782",0.01935333333333333,0.003813226266666666,False,1
52,100,100,10000,0.25,25,0.55,10,0,"[2, 0.1, 0.0]",True,False,False,4084204172,False,False,False,False,False,False,False,False,0.0,"100,100,10000,0.25,25,Normal Modes,10,4084204172",0.020153333333333332,0.003922732044444445,False,1
53,100,100,10000,0.25,25,0.55,10,0,"[2, 0.1, 0.0]",True,False,False,1786755316,False,False,False,False,False,False,False,False,0.0,"100,100,10000,0.25,25,Normal Modes,10,1786755316",0.02026333333333333,0.0039003973222222215,False,1
54,100,100,10000,0.25,25,0.55,10,0,"[2, 0.1, 0.0]",True,False,False,2830373056,False,False,False,False,False,False,False,False,0.0,"100,100,10000,0.25,25,Normal Modes,10,2830373056",0.02001,0.0038814887888888885,False,1
55,100,100,10000,0.25,25,0.55,10,0,"[2, 0.1, 0.0]",True,False,False,2422771156,False,False,False,False,False,False,False,False,0.0,"100,100,10000,0.25,25,Normal Modes,10,2422771156",0.020603333333333335,0.004113613766666665,False,1
56,100,100,10000,0.25,25,0.55,10,0,"[2, 0.1, 0.0]",True,False,False,3172527742,False,False,False,False,False,False,False,False,0.0,"100,100,10000,0.25,25,Normal Modes,10,3172527742",0.018629999999999997,0.003647256433333333,False,1
