,width,height,runtime,threshold,sigmoid_strength,coupling,refractory_period,set_seed,constant,gradient,grad_start,grad_end,normal_modes,normal_modes_config,graph,FullStateSave,stats,seed,location_2,location_3,location_4,AF_time,per_%,title,mean,variance,in AF?
0,100,100,10000,0.25,25,0.55,10,0,False,False,0.3,0.4,True,"[3, 0.2, 0.75]",False,False,False,3993663327,6519,6519,6519,"(1, 133)",1.0,"100,100,10000,0.25,25,Normal Modes,10,3993663327",0.7486866666666667,0.03957649737777778,True
1,100,100,10000,0.25,25,0.55,10,0,False,False,0.3,0.4,True,"[3, 0.2, 0.75]",False,False,False,2959154533,8722,5847,5847,"(1, 154)",1.0,"100,100,10000,0.25,25,Normal Modes,10,2959154533",0.7489400000000002,0.039962431955555565,True
2,100,100,10000,0.25,25,0.55,10,0,False,False,0.3,0.4,True,"[3, 0.2, 0.75]",False,False,False,3360062442,4191,6693,6693,"(15, 215)",1.0,"100,100,10000,0.25,25,Normal Modes,10,3360062442",0.7496299999999999,0.040147196433333344,True
3,100,100,10000,0.25,25,0.55,10,0,False,False,0.3,0.4,True,"[3, 0.2, 0.75]",False,False,False,517601454,3332,3332,3332,"(1, 152)",1.0,"100,100,10000,0.25,25,Normal Modes,10,517601454",0.75029,0.039543915900000004,True
4,100,100,10000,0.25,25,0.55,10,0,False,False,0.3,0.4,True,"[3, 0.2, 0.75]",False,False,False,3037188229,9329,9329,8518,"(1, 159)",1.0,"100,100,10000,0.25,25,Normal Modes,10,3037188229",0.7475333333333334,0.04043169333333334,True
5,100,100,10000,0.25,25,0.55,10,0,False,False,0.3,0.4,True,"[3, 0.2, 0.75]",False,False,False,1968838902,5457,59,59,"(1, 180)",1.0,"100,100,10000,0.25,25,Normal Modes,10,1968838902",0.7502733333333333,0.040455703066666675,True
6,100,100,10000,0.25,25,0.55,10,0,False,False,0.3,0.4,True,"[3, 0.2, 0.75]",False,False,False,3636036785,8421,8320,8127,"(1, 137)",1.0,"100,100,10000,0.25,25,Normal Modes,10,3636036785",0.7531766666666666,0.03977990878888888,True
7,100,100,10000,0.25,25,0.55,10,0,False,False,0.3,0.4,True,"[3, 0.2, 0.75]",False,False,False,1627074991,2929,2929,5802,"(1, 157)",1.0,"100,100,10000,0.25,25,Normal Modes,10,1627074991",0.7502733333333333,0.03988836973333334,True
8,100,100,10000,0.25,25,0.55,10,0,False,False,0.3,0.4,True,"[3, 0.2, 0.75]",False,False,False,2781191883,4963,4963,4963,"(1, 184)",1.0,"100,100,10000,0.25,25,Normal Modes,10,2781191883",0.7475533333333334,0.04029534715555556,True
9,100,100,10000,0.25,25,0.55,10,0,False,False,0.3,0.4,True,"[3, 0.2, 0.75]",False,False,False,1441362104,6434,6434,6434,"(1, 151)",1.0,"100,100,10000,0.25,25,Normal Modes,10,1441362104",0.7489433333333333,0.03992510567777779,True
10,100,100,10000,0.25,25,0.55,10,0,False,False,0.3,0.4,True,"[3, 0.2, 0.75]",False,False,False,1723426271,2619,3217,3315,"(1, 139)",1.0,"100,100,10000,0.25,25,Normal Modes,10,1723426271",0.7504133333333334,0.0389722736,True
11,100,100,10000,0.25,25,0.55,10,0,False,False,0.3,0.4,True,"[3, 0.2, 0.75]",False,False,False,1176829463,5828,5828,5828,"(1, 153)",1.0,"100,100,10000,0.25,25,Normal Modes,10,1176829463",0.7498533333333334,0.04014042293333334,True
12,100,100,10000,0.25,25,0.55,10,0,False,False,0.3,0.4,True,"[3, 0.2, 0.75]",False,False,False,534440663,301,301,301,"(1, 113)",1.0,"100,100,10000,0.25,25,Normal Modes,10,534440663",0.7521833333333334,0.03980212194444444,True
13,100,100,10000,0.25,25,0.55,10,0,False,False,0.3,0.4,True,"[3, 0.2, 0.75]",False,False,False,982114162,7424,7424,7424,"(1, 138)",1.0,"100,100,10000,0.25,25,Normal Modes,10,982114162",0.7515266666666667,0.03945166928888889,True
14,100,100,10000,0.25,25,0.55,10,0,False,False,0.3,0.4,True,"[3, 0.2, 0.75]",False,False,False,3339866336,3590,3590,3989,"(13, 213)",1.0,"100,100,10000,0.25,25,Normal Modes,10,3339866336",0.7484566666666668,0.040242951455555565,True
15,100,100,10000,0.25,25,0.55,10,0,False,False,0.3,0.4,True,"[3, 0.2, 0.75]",False,False,False,2838681002,5454,5353,5353,"(1, 175)",1.0,"100,100,10000,0.25,25,Normal Modes,10,2838681002",0.7483866666666665,0.0406698416,True
16,100,100,10000,0.25,25,0.55,10,0,False,False,0.3,0.4,True,"[3, 0.2, 0.75]",False,False,False,2106831205,7722,8330,8330,"(1, 142)",1.0,"100,100,10000,0.25,25,Normal Modes,10,2106831205",0.7495366666666666,0.03995934087777779,True
17,100,100,10000,0.25,25,0.55,10,0,False,False,0.3,0.4,True,"[3, 0.2, 0.75]",False,False,False,1399578796,6321,6930,6930,"(1, 163)",1.0,"100,100,10000,0.25,25,Normal Modes,10,1399578796",0.7529166666666667,0.03995415972222223,True
18,100,100,10000,0.25,25,0.55,10,0,False,False,0.3,0.4,True,"[3, 0.2, 0.75]",False,False,False,3913477948,1327,1327,1327,"(1, 146)",1.0,"100,100,10000,0.25,25,Normal Modes,10,3913477948",0.7514066666666667,0.038910465733333344,True
19,100,100,10000,0.25,25,0.55,10,0,False,False,0.3,0.4,True,"[3, 0.2, 0.75]",False,False,False,358952248,8733,8733,8733,"(1, 156)",1.0,"100,100,10000,0.25,25,Normal Modes,10,358952248",0.7477066666666667,0.04029029617777778,True
20,100,100,10000,0.25,25,0.55,10,0,False,False,0.3,0.4,True,"[3, 0.2, 0.75]",False,False,False,2217088121,8653,8653,8653,"(1, 175)",1.0,"100,100,10000,0.25,25,Normal Modes,10,2217088121",0.75094,0.040155338622222224,True
21,100,100,10000,0.25,25,0.55,10,0,False,False,0.3,0.4,True,"[3, 0.2, 0.75]",False,False,False,415980183,2745,2745,2745,"(1, 167)",1.0,"100,100,10000,0.25,25,Normal Modes,10,415980183",0.7511966666666667,0.04019301243333334,True
22,100,100,10000,0.25,25,0.55,10,0,False,False,0.3,0.4,True,"[3, 0.2, 0.75]",False,False,False,1934805411,3016,3016,3016,"(1, 133)",1.0,"100,100,10000,0.25,25,Normal Modes,10,1934805411",0.74771,0.03968475590000001,True
23,100,100,10000,0.25,25,0.55,10,0,False,False,0.3,0.4,True,"[3, 0.2, 0.75]",False,False,False,1681618225,8220,8220,8220,"(1, 158)",1.0,"100,100,10000,0.25,25,Normal Modes,10,1681618225",0.75194,0.039628458622222223,True
24,100,100,10000,0.25,25,0.55,10,0,False,False,0.3,0.4,True,"[3, 0.2, 0.75]",False,False,False,1511807472,6519,6519,6519,"(1, 136)",1.0,"100,100,10000,0.25,25,Normal Modes,10,1511807472",0.7519866666666667,0.03920027537777778,True
25,100,100,10000,0.25,25,0.55,10,0,False,False,0.3,0.4,True,"[3, 0.2, 0.75]",False,False,False,577412242,8324,8324,9417,"(1, 141)",1.0,"100,100,10000,0.25,25,Normal Modes,10,577412242",0.7508366666666668,0.04036174443333334,True
26,100,100,10000,0.25,25,0.55,10,0,False,False,0.3,0.4,True,"[3, 0.2, 0.75]",False,False,False,1431784434,8424,8424,8424,"(1, 142)",1.0,"100,100,10000,0.25,25,Normal Modes,10,1431784434",0.7520600000000001,0.03883464528888889,True
27,100,100,10000,0.25,25,0.55,10,0,False,False,0.3,0.4,True,"[3, 0.2, 0.75]",False,False,False,3743525271,5130,5130,5130,"(1, 148)",1.0,"100,100,10000,0.25,25,Normal Modes,10,3743525271",0.7499300000000001,0.03964577287777779,True
28,100,100,10000,0.25,25,0.55,10,0,False,False,0.3,0.4,True,"[3, 0.2, 0.75]",False,False,False,4027509358,6033,6033,6033,"(1, 157)",1.0,"100,100,10000,0.25,25,Normal Modes,10,4027509358",0.7505166666666666,0.039555510833333335,True
29,100,100,10000,0.25,25,0.55,10,0,False,False,0.3,0.4,True,"[3, 0.2, 0.75]",False,False,False,3082568021,6424,7229,7229,"(1, 143)",1.0,"100,100,10000,0.25,25,Normal Modes,10,3082568021",0.7503166666666667,0.03997567750000001,True
30,100,100,10000,0.25,25,0.55,10,0,False,False,0.3,0.4,True,"[3, 0.2, 0.75]",False,False,False,3691579569,5914,6016,6016,"(1, 131)",1.0,"100,100,10000,0.25,25,Normal Modes,10,3691579569",0.7477233333333334,0.04001281678888889,True
31,100,100,10000,0.25,25,0.55,10,0,False,False,0.3,0.4,True,"[3, 0.2, 0.75]",False,False,False,1936165610,4623,4623,4623,"(1, 141)",1.0,"100,100,10000,0.25,25,Normal Modes,10,1936165610",0.7519533333333333,0.04033218448888889,True
32,100,100,10000,0.25,25,0.55,10,0,False,False,0.3,0.4,True,"[3, 0.2, 0.75]",False,False,False,729734011,5821,5821,5821,"(1, 139)",1.0,"100,100,10000,0.25,25,Normal Modes,10,729734011",0.7518933333333333,0.039438415288888896,True
33,100,100,10000,0.25,25,0.55,10,0,False,False,0.3,0.4,True,"[3, 0.2, 0.75]",False,False,False,2926180466,8263,3360,3360,"(1, 185)",1.0,"100,100,10000,0.25,25,Normal Modes,10,2926180466",0.7490433333333334,0.04060108478888889,True
34,100,100,10000,0.25,25,0.55,10,0,False,False,0.3,0.4,True,"[3, 0.2, 0.75]",False,False,False,3183279079,2416,2416,3028,"(1, 137)",1.0,"100,100,10000,0.25,25,Normal Modes,10,3183279079",0.7504133333333334,0.03957294026666667,True
35,100,100,10000,0.25,25,0.55,10,0,False,False,0.3,0.4,True,"[3, 0.2, 0.75]",False,False,False,891103437,2915,2915,2915,"(1, 133)",1.0,"100,100,10000,0.25,25,Normal Modes,10,891103437",0.7504633333333334,0.040710896433333345,True
36,100,100,10000,0.25,25,0.55,10,0,False,False,0.3,0.4,True,"[3, 0.2, 0.75]",False,False,False,4009322500,8767,8767,8767,"(1, 200)",1.0,"100,100,10000,0.25,25,Normal Modes,10,4009322500",0.75226,0.03978044795555556,True
37,100,100,10000,0.25,25,0.55,10,0,False,False,0.3,0.4,True,"[3, 0.2, 0.75]",False,False,False,1761409171,5451,5451,5451,"(1, 175)",1.0,"100,100,10000,0.25,25,Normal Modes,10,1761409171",0.75052,0.03986906293333334,True
38,100,100,10000,0.25,25,0.55,10,0,False,False,0.3,0.4,True,"[3, 0.2, 0.75]",False,False,False,1190020768,9832,125,125,"(1, 164)",1.0,"100,100,10000,0.25,25,Normal Modes,10,1190020768",0.7490266666666667,0.04031683040000001,True
39,100,100,10000,0.25,25,0.55,10,0,False,False,0.3,0.4,True,"[3, 0.2, 0.75]",False,False,False,1976520770,7026,7026,7026,"(1, 143)",1.0,"100,100,10000,0.25,25,Normal Modes,10,1976520770",0.7494433333333334,0.04109791234444445,True
40,100,100,10000,0.25,25,0.55,10,0,False,False,0.3,0.4,True,"[3, 0.2, 0.75]",False,False,False,3908502791,3625,3623,3623,"(1, 140)",1.0,"100,100,10000,0.25,25,Normal Modes,10,3908502791",0.7532166666666666,0.03944720861111112,True
