,Unnamed: 0,width,height,runtime,threshold,sigmoid_strength,coupling,refractory_period,set_seed,normal_modes_config,graph,FullStateSave,stats,seed,location_2,location_3,location_4,location_err,AF_time,Hamming_dis_arr,per_%,title,mean,variance,in AF?,multiplier,AF_time_real,AF_beat,10_before_fib,3_before_fib,Fib_beat,5_after_fib,Periodicity,amp,off,Ham_dis_80
0,0,100,100,10000,0.25,25,0.55,10,0,"[1, 0.2, 0.8]",False,full,False,1302269678,7671,7671,7771,True,"(2191, 2391)","[[13.4788344181805, 12.75183106076531, 13.340465631146984, 14.171396839129624, 13.431087731343982, 13.936603447850935, 13.649175799292792, 13.804409744536771, 14.346141108530976, 15.548222477898308, 16.291239804938805, 17.00594740645199, 17.628021058439362, 15.877497810072615, 15.27656432976731, 16.343426658345205]]",1.0,"100,100,10000,0.25,25,Normal Modes,10,1302269678",0.8024700000000001,0.035128010211111116,True,1,2291,11.0,14.068128005783182,15.39520113045603,16.291239804938805,16.426291452615295,1.0,0.2,0.8,15.510390667823259
1,1,100,100,10000,0.25,25,0.55,10,0,"[1, 0.2, 0.8]",False,full,False,3617966379,8878,8878,8878,True,"(2000, 2200)","[[20.225092035046142, 21.390593055461736, 18.083141320025124, 19.125959468256625, 20.233740517243692, 20.179591400494438, 20.03258215573037, 20.015125859156985, 19.697163777294566, 19.09775986387361, 18.110441608036375, 17.822036920621617, 18.04589485139638, 20.26579337090904, 19.976065925916025, 23.092143534614884]]",1.0,"100,100,10000,0.25,25,Normal Modes,10,3617966379",0.7984966666666667,0.034784073322222234,True,1,2100,10.0,19.653744641874518,18.968455083068182,18.110441608036375,19.84038692069159,1.0,0.2,0.8,17.29104439741726
2,2,100,100,10000,0.25,25,0.55,10,0,"[1, 0.2, 0.8]",False,full,False,1207890196,7752,7655,7655,True,"(8770, 8970)","[[12.09968176650009, 13.343700679574875, 11.602801385872294, 11.984248921906712, 11.761046816598522, 12.285315513763873, 11.810541430810398, 13.190498372382597, 12.231953631990779, 12.932625757701492, 12.867803120302126, 12.984153237470576, 13.316008859790648, 13.078999998618222, 12.475207972354143, 12.061819929015687]]",1.0,"100,100,10000,0.25,25,Normal Modes,10,1207890196",0.7978466666666666,0.03545958537777778,True,1,8870,44.0,12.373656127036703,12.6774608366648,12.867803120302126,12.783237999449856,1.0,0.2,0.8,17.843575054730703
3,3,100,100,10000,0.25,25,0.55,10,0,"[2, 0.2, 0.8]",False,full,False,415653516,3183,2984,2984,True,"(2405, 2605)","[[15.694655849116993, 16.3846710924727, 15.354058956405684, 15.797203247245463, 16.48476170349613, 15.471887743414749, 15.169505228875755, 14.264075694614313, 15.64521419708683, 15.649905438368792, 16.01812589358871, 16.683107832670796, 16.85900542231917, 16.07006716922893, 16.09569596418336, 16.619088953581624]]",1.0,"100,100,10000,0.25,25,Normal Modes,10,415653516",0.8011766666666666,0.03537583767777778,True,1,2505,12.0,15.63036954951692,15.771081843014777,16.01812589358871,16.46539306839678,2.0,0.2,0.8,15.616990781478046
4,4,100,100,10000,0.25,25,0.55,10,0,"[2, 0.2, 0.8]",False,full,False,3318382643,False,False,False,False,False,False,1.0,"100,100,10000,0.25,25,Normal Modes,10,3318382643",0.7941433333333333,0.03596869945555555,False,1,False,False,False,False,False,False,2.0,0.2,0.8,16.30553019077939
5,5,100,100,10000,0.25,25,0.55,10,0,"[2, 0.2, 0.8]",False,full,False,3970898847,3036,3036,3036,True,"(6350, 6550)","[[8.168617740442608, 8.785289903089065, 6.184431340975172, 6.877259868341699, 6.723261648263529, 7.042726744663603, 7.762649092302999, 7.551151327025327, 8.522827403891371, 7.816648898345121, 8.680039464563684, 8.731960056985008, 7.668736780560656, 8.209236643261068, 9.558418911777368, 9.809274947721672]]",1.0,"100,100,10000,0.25,25,Normal Modes,10,3970898847",0.7999333333333333,0.03543977333333334,True,1,6450,32.0,7.646809402900379,8.339838588933391,8.680039464563684,8.795525468061154,2.0,0.2,0.8,14.564880760565082
6,6,100,100,10000,0.25,25,0.55,10,0,"[3, 0.2, 0.8]",False,full,False,4013256505,False,False,False,False,False,False,1.0,"100,100,10000,0.25,25,Normal Modes,10,4013256505",0.7977299999999999,0.03584029154444445,False,1,False,False,False,False,False,False,3.0,0.2,0.8,15.357088137955689
7,7,100,100,10000,0.25,25,0.55,10,0,"[3, 0.2, 0.8]",False,full,False,3998327090,1956,1956,1956,True,"(1373, 1573)","[[11.218358280069326, 11.532096397092246, 12.692123541787637, 11.38334553440049, 12.307669292122506, 11.571656139310898, 11.702801184142006, 10.91510581184264, 11.831209916567605, 11.3793489854795, 10.890709716980565, 11.107633324533591, 10.477867831086355, 11.495818637828544, 12.84101110758262, 12.932408554141643]]",1.0,"100,100,10000,0.25,25,Normal Modes,10,3998327090",0.8021733333333334,0.034592387733333334,True,1,1473,7.0,11.58403861816322,11.36708953967589,10.890709716980565,11.770947891034549,3.0,0.2,0.8,13.395899928583402
8,8,100,100,10000,0.25,25,0.55,10,0,"[3, 0.2, 0.8]",False,full,False,125857141,1792,1792,1792,True,"(4011, 4211)","[[13.847285359519281, 14.331444662784312, 12.98854292024364, 14.222868908908639, 12.919103134755586, 12.434258942717312, 12.571116379739987, 13.105449591248828, 13.05964076333916, 14.04217916489192, 12.686786253994567, 12.944325225965066, 14.223659866574426, 15.164301631003124, 14.655359766736304, 13.550727737735055]]",1.0,"100,100,10000,0.25,25,Normal Modes,10,125857141",0.8041300000000001,0.034454165322222216,True,1,4111,20.0,13.291697825649386,13.26286872740855,12.686786253994567,14.107674845602796,3.0,0.2,0.8,14.275807860610957
9,9,100,100,10000,0.25,25,0.55,10,0,"[4, 0.2, 0.8]",False,full,False,144413874,False,False,False,False,False,False,1.0,"100,100,10000,0.25,25,Normal Modes,10,144413874",0.8007933333333335,0.034694037288888896,False,1,False,False,False,False,False,False,4.0,0.2,0.8,13.028468505831482
